update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
65,0.139857,0.279770,0.996094,0.011099,0.259488,-0.069990,1.148531,4,256,37,0.193315,0,0.155660,0.272552,21,0.099392,"{0: 226, 9: 7, 2: 4, 11: 5, 8: 2, 3: 1, 5: 2, 6: 5, 1: 2, 7: 2}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.03312630208333334, 'production_active_reward': 0.006054687499999999, 'production_cancel_penalty': 0.005945312500000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07841176470588235, 'goal_building_progress': 0.45274509803921564, 'goal_unit_progress': 0.033823529411764704, 'total': 0.13985677083333334, 'seeded_bootstrap': 1.0}"
66,0.146655,0.296777,0.992188,0.006949,0.322515,-0.409695,3.042795,4,256,41,0.226162,0,0.156138,0.272552,21,0.115017,"{0: 217, 3: 4, 2: 3, 5: 5, 7: 9, 6: 2, 1: 6, 8: 5, 10: 3, 9: 2}","{'asset_gained': 41.015625, 'asset_reward': 0.041015625, 'production_start_reward': 0.029296875, 'production_active_reward': 0.00525390625, 'production_cancel_penalty': 0.004152343750000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07583333333333336, 'goal_building_progress': 0.4364173228346456, 'goal_unit_progress': 0.012959317585301834, 'total': 0.14665494791666667, 'seeded_bootstrap': 1.0}"
67,0.111898,0.280949,0.992188,0.007675,0.186797,-0.563609,4.713625,4,256,23,0.301418,0,0.149678,0.272552,21,0.090495,"{0: 238, 5: 1, 6: 3, 2: 5, 1: 3, 8: 1, 7: 2, 3: 3}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004453125, 'production_cancel_penalty': 0.00191015625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06533464566929133, 'goal_building_progress': 0.3519685039370079, 'goal_unit_progress': 0.0172244094488189, 'total': 0.11189843750000002, 'seeded_bootstrap': 1.0}"
68,0.196410,0.266277,0.992188,0.006838,0.335908,-0.246189,2.829952,4,256,44,0.247436,0,0.150350,0.272552,21,0.117405,"{0: 218, 6: 5, 9: 7, 1: 8, 10: 2, 8: 4, 5: 3, 7: 2, 3: 2, 11: 2, 2: 3}","{'asset_gained': 34.765625, 'asset_reward': 0.034765625, 'production_start_reward': 0.041015625, 'production_active_reward': 0.0058398437499999995, 'production_cancel_penalty': 0.00634375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.12208661417322836, 'goal_building_progress': 0.5600393700787402, 'goal_unit_progress': 0.05039370078740158, 'total': 0.19641015625000002, 'seeded_bootstrap': 1.0}"
69,0.115402,0.193207,0.996094,0.005567,0.214879,-0.242074,1.925244,4,256,27,0.348552,0,0.147688,0.272552,21,0.095486,"{0: 231, 1: 9, 2: 7, 5: 3, 8: 2, 6: 2, 3: 1, 9: 1}","{'asset_gained': 20.703125, 'asset_reward': 0.020703125, 'production_start_reward': 0.021484375, 'production_active_reward': 0.0044140625, 'production_cancel_penalty': 0.00342578125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07250980392156864, 'goal_building_progress': 0.4343137254901961, 'goal_unit_progress': 0.0, 'total': 0.11540234374999998, 'seeded_bootstrap': 1.0}"
70,0.239544,0.293979,0.992188,0.006167,0.246198,-0.146185,3.581529,4,256,32,0.400211,0,0.152910,0.272552,21,0.099826,"{0: 227, 9: 2, 10: 1, 2: 7, 17: 1, 8: 2, 7: 4, 3: 3, 5: 2, 6: 2, 1: 5}","{'asset_gained': 38.671875, 'asset_reward': 0.038671874999999994, 'production_start_reward': 0.01953125, 'production_active_reward': 0.00490234375, 'production_cancel_penalty': 0.0037695312500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.18162729658792653, 'goal_building_progress': 0.4993438320209973, 'goal_unit_progress': 0.04330708661417323, 'total': 0.23954427083333332, 'seeded_bootstrap': 1.0}"
71,0.293316,0.272857,0.992188,0.012242,0.418130,-0.159391,4.374672,4,256,55,0.355624,0,0.159439,0.293316,71,0.131293,"{0: 208, 8: 7, 3: 6, 10: 4, 7: 6, 5: 5, 1: 6, 11: 5, 2: 2, 6: 4, 9: 3}","{'asset_gained': 36.328125, 'asset_reward': 0.036328125, 'production_start_reward': 0.04296875, 'production_active_reward': 0.006347656250000001, 'production_cancel_penalty': 0.0063906250000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.21574803149606298, 'goal_building_progress': 0.5492125984251969, 'goal_unit_progress': 0.0, 'total': 0.29331640625, 'seeded_bootstrap': 1.0}"
72,0.129292,0.254923,0.996094,0.006310,0.169865,-0.175715,1.705595,4,256,22,0.269924,0,0.161795,0.293316,71,0.087240,"{0: 237, 8: 2, 1: 5, 7: 2, 3: 1, 6: 1, 10: 1, 9: 2, 11: 1, 2: 2, 5: 2}","{'asset_gained': 30.078125, 'asset_reward': 0.030078125, 'production_start_reward': 0.025390625, 'production_active_reward': 0.0052734374999999995, 'production_cancel_penalty': 0.00415234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07298692810457517, 'goal_building_progress': 0.41745098039215683, 'goal_unit_progress': 0.01898692810457516, 'total': 0.1292916666666667, 'seeded_bootstrap': 1.0}"
73,0.197460,0.294899,0.992188,0.013486,0.170102,-0.314591,4.552002,4,256,21,0.086294,0,0.166937,0.293316,71,0.087457,"{0: 240, 8: 1, 5: 3, 3: 1, 7: 3, 2: 3, 1: 4, 6: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004511718749999999, 'production_cancel_penalty': 0.00153125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.15112860892388452, 'goal_building_progress': 0.43700787401574803, 'goal_unit_progress': 0.05774278215223097, 'total': 0.1974596354166667, 'seeded_bootstrap': 1.0}"
74,0.261258,0.311499,0.992188,0.008469,0.242826,-0.744748,5.877550,4,256,36,0.156058,0,0.173696,0.293316,71,0.095052,"{0: 230, 6: 3, 7: 1, 5: 2, 1: 4, 3: 4, 9: 8, 11: 2, 10: 1, 2: 1}","{'asset_gained': 42.1875, 'asset_reward': 0.0421875, 'production_start_reward': 0.0390625, 'production_active_reward': 0.0059765625, 'production_cancel_penalty': 0.00630078125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.181751968503937, 'goal_building_progress': 0.48897637795275584, 'goal_unit_progress': 0.020177165354330708, 'total': 0.2612578125, 'seeded_bootstrap': 1.0}"
