update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
57,0.085710,0.513393,0.988281,0.327330,2.155931,0.193467,2.127437,1,256,255,0.016545,1,0.077273,0.105086,37,0.491102,"{8: 9, 2: 51, 0: 80, 1: 53, 10: 2, 6: 11, 5: 16, 3: 18, 11: 4, 9: 1, 7: 11}","{'asset_gained': 31.4453125, 'asset_reward': 0.062890625, 'resource_growth': 5.23828125, 'resource_reward': 0.00523828125, 'production_start_reward': 0.013240885416666667, 'production_active_reward': 0.005449218750000001, 'production_cancel_penalty': 0.0022812500000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5266666666666667, 'goal_unit_progress': 0.11800653594771242, 'goal_phase2': 0.5058823529411764, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08570963541666665, 'seeded_bootstrap': 1.0}"
58,0.115133,0.556154,0.968750,0.394903,2.241233,0.245225,3.687446,1,256,255,0.080839,1,0.078988,0.115133,58,0.536024,"{1: 52, 0: 70, 3: 21, 2: 50, 8: 20, 5: 7, 7: 12, 9: 7, 11: 5, 6: 9, 10: 3}","{'asset_gained': 39.453125, 'asset_reward': 0.07890625, 'resource_growth': 4.9765625, 'resource_reward': 0.0049765625, 'production_start_reward': 0.029296875, 'production_active_reward': 0.005664062500000001, 'production_cancel_penalty': 0.0048828125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5640522875816992, 'goal_unit_progress': 0.1049019607843137, 'goal_phase2': 0.9137254901960784, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.11513281249999999, 'seeded_bootstrap': 1.0}"
59,0.080788,0.453270,0.980469,0.510330,2.252022,0.170560,2.640209,1,256,255,0.144626,1,0.078324,0.115133,58,0.541884,"{2: 65, 0: 78, 6: 11, 1: 45, 7: 8, 5: 10, 9: 6, 3: 15, 10: 3, 11: 4, 8: 11}","{'asset_gained': 28.125, 'asset_reward': 0.05625, 'resource_growth': 5.19140625, 'resource_reward': 0.005191406250000001, 'production_start_reward': 0.017494791666666665, 'production_active_reward': 0.00595703125, 'production_cancel_penalty': 0.00410546875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.6074509803921568, 'goal_unit_progress': 0.2156862745098039, 'goal_phase2': 0.596078431372549, 'goal_phase_bonus': 0.0, 'total': 0.08078776041666666, 'seeded_bootstrap': 1.0}"
60,0.107732,0.552309,0.949219,0.378423,2.206429,0.196386,3.411306,1,256,255,0.050810,1,0.080118,0.115133,58,0.518446,"{0: 79, 2: 70, 1: 58, 3: 12, 5: 6, 6: 3, 7: 9, 8: 13, 10: 2, 11: 4}","{'asset_gained': 37.3046875, 'asset_reward': 0.074609375, 'resource_growth': 7.046875, 'resource_reward': 0.007046875, 'production_start_reward': 0.023138020833333335, 'production_active_reward': 0.005546875000000001, 'production_cancel_penalty': 0.00378125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5352941176470588, 'goal_unit_progress': 0.10931372549019608, 'goal_phase2': 0.6745098039215687, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.10773177083333334, 'seeded_bootstrap': 1.0}"
61,0.080711,0.470880,0.972656,0.373479,2.064144,0.318874,2.319286,1,256,255,0.135451,1,0.080678,0.115133,58,0.442925,"{0: 80, 1: 68, 6: 13, 2: 52, 8: 17, 5: 10, 7: 9, 3: 7}","{'asset_gained': 28.125, 'asset_reward': 0.056249999999999994, 'resource_growth': 7.296875, 'resource_reward': 0.0072968749999999995, 'production_start_reward': 0.013671875, 'production_active_reward': 0.004609375, 'production_cancel_penalty': 0.0022890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.43764705882352944, 'goal_unit_progress': 0.09019607843137255, 'goal_phase2': 0.6352941176470588, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08071093749999998, 'seeded_bootstrap': 1.0}"
62,0.059195,0.446775,0.968750,0.335506,2.075327,0.285931,1.055946,1,256,256,0.115789,1,0.078792,0.115133,58,0.444444,"{1: 55, 3: 10, 0: 84, 2: 62, 8: 13, 5: 9, 7: 12, 6: 11}","{'asset_gained': 20.703125, 'asset_reward': 0.04140625, 'resource_growth': 7.18359375, 'resource_reward': 0.00718359375, 'production_start_reward': 0.005859375, 'production_active_reward': 0.0047265625, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.64453125, 'goal_unit_progress': 0.2994791666666667, 'goal_phase2': 0.96875, 'goal_phase_bonus': 0.001171875, 'total': 0.05919531249999999}"
63,0.115922,0.554742,0.972656,0.328618,2.276071,0.229420,2.744843,1,256,255,0.089040,1,0.080013,0.115922,63,0.553602,"{2: 66, 8: 15, 5: 8, 0: 64, 1: 45, 7: 13, 3: 13, 6: 10, 11: 13, 9: 6, 10: 3}","{'asset_gained': 41.2109375, 'asset_reward': 0.08242187499999999, 'resource_growth': 1.7578125, 'resource_reward': 0.0017578125, 'production_start_reward': 0.0299609375, 'production_active_reward': 0.006562499999999999, 'production_cancel_penalty': 0.005953125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4861111111111111, 'goal_unit_progress': 0.10588235294117647, 'goal_phase2': 0.5725490196078431, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.11592187499999998, 'seeded_bootstrap': 1.0}"
64,0.069590,0.463812,0.976562,0.346879,2.154088,0.255369,2.299591,1,256,255,0.055006,1,0.080141,0.115922,63,0.489800,"{11: 6, 2: 57, 1: 70, 5: 8, 0: 66, 3: 17, 8: 7, 9: 1, 10: 3, 6: 7, 7: 14}","{'asset_gained': 24.8046875, 'asset_reward': 0.049609375, 'resource_growth': 3.390625, 'resource_reward': 0.003390625, 'production_start_reward': 0.0119140625, 'production_active_reward': 0.00576171875, 'production_cancel_penalty': 0.0022578125000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.45999999999999996, 'goal_unit_progress': 0.07352941176470588, 'goal_phase2': 0.49411764705882355, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.06958984374999999, 'seeded_bootstrap': 1.0}"
65,0.082711,0.353002,0.964844,0.334056,2.278337,0.098314,3.215598,1,256,255,0.116971,1,0.081014,0.115922,63,0.556207,"{0: 72, 2: 51, 5: 8, 1: 58, 6: 11, 7: 17, 10: 5, 8: 10, 9: 4, 3: 18, 11: 2}","{'asset_gained': 23.828125, 'asset_reward': 0.04765625, 'resource_growth': 3.39453125, 'resource_reward': 0.00339453125, 'production_start_reward': 0.029296875, 'production_active_reward': 0.00609375, 'production_cancel_penalty': 0.00490234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5248039215686274, 'goal_unit_progress': 0.06303921568627449, 'goal_phase2': 0.6901960784313725, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.0827109375, 'seeded_bootstrap': 1.0}"
66,0.050020,0.327294,0.976562,0.390629,2.265738,0.271388,1.477568,1,256,255,0.114404,1,0.080231,0.115922,63,0.547092,"{2: 47, 1: 49, 8: 10, 0: 87, 9: 6, 3: 14, 10: 6, 7: 12, 11: 5, 5: 10, 6: 10}","{'asset_gained': 15.625, 'asset_reward': 0.031249999999999997, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.014234375, 'production_active_reward': 0.007109374999999999, 'production_cancel_penalty': 0.00257421875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.43529411764705883, 'goal_unit_progress': 0.0, 'goal_phase2': 0.6274509803921569, 'goal_phase_bonus': 0.0, 'total': 0.05001953124999999, 'seeded_bootstrap': 1.0}"
