update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
53,0.153138,0.285052,0.992188,0.048899,0.138287,0.048539,1.536723,1,256,18,0.357095,1,0.119351,0.171700,46,0.082899,"{0: 239, 2: 3, 1: 6, 5: 8}","{'asset_gained': 35.15625, 'asset_reward': 0.03515625, 'production_start_reward': 0.015625, 'production_active_reward': 0.00453125, 'production_cancel_penalty': 0.00228515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.10089895013123358, 'goal_building_progress': 0.5547900262467191, 'goal_unit_progress': 0.003937007874015748, 'total': 0.15313802083333336, 'seeded_bootstrap': 1.0}"
54,0.095587,0.283444,0.992188,0.028431,0.100071,-0.322828,1.509335,4,256,13,0.110246,0,0.117208,0.171700,46,0.075304,"{0: 244, 3: 1, 1: 7, 5: 3, 2: 1}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0046484375, 'production_cancel_penalty': 0.0019062500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04554461942257219, 'goal_building_progress': 0.4232939632545931, 'goal_unit_progress': 0.0, 'total': 0.09558723958333334, 'seeded_bootstrap': 1.0}"
55,0.125527,0.285296,0.996094,0.020669,0.081228,0.277042,0.984477,4,256,10,0.099173,0,0.119450,0.171700,46,0.070747,"{0: 248, 5: 1, 1: 4, 2: 2, 3: 1}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004667968749999999, 'production_cancel_penalty': 0.0022890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07774836601307189, 'goal_building_progress': 0.5446078431372549, 'goal_unit_progress': 0.00457516339869281, 'total': 0.12552669270833333, 'seeded_bootstrap': 1.0}"
56,0.142120,0.260444,0.992188,0.090607,0.168829,-0.286304,1.058515,1,256,25,0.209932,1,0.121038,0.171700,46,0.088976,"{0: 236, 1: 7, 3: 4, 9: 6, 10: 1, 5: 2}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.033203125, 'production_active_reward': 0.005410156250000001, 'production_cancel_penalty': 0.0052109375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.076502624671916, 'goal_building_progress': 0.5508530183727034, 'goal_unit_progress': 0.04488188976377952, 'total': 0.14211979166666666, 'seeded_bootstrap': 1.0}"
57,0.139755,0.263916,0.992188,0.127147,0.189510,-0.306914,0.618994,1,256,29,0.139497,1,0.121306,0.171700,46,0.091363,"{0: 230, 9: 9, 5: 3, 2: 1, 10: 3, 1: 7, 3: 3}","{'asset_gained': 35.546875, 'asset_reward': 0.035546875, 'production_start_reward': 0.041015625, 'production_active_reward': 0.006347656250000002, 'production_cancel_penalty': 0.006703125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06404855643044621, 'goal_building_progress': 0.4632545931758531, 'goal_unit_progress': 0.009251968503937008, 'total': 0.13975520833333333, 'seeded_bootstrap': 1.0}"
58,0.130578,0.200684,0.996094,0.094901,0.166275,-0.243831,1.542425,1,256,22,0.116884,1,0.121604,0.171700,46,0.087891,"{1: 7, 0: 238, 5: 5, 2: 2, 3: 1, 10: 1, 9: 2}","{'asset_gained': 19.921875, 'asset_reward': 0.019921875, 'production_start_reward': 0.0234375, 'production_active_reward': 0.005019531249999999, 'production_cancel_penalty': 0.00342578125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.08596078431372549, 'goal_building_progress': 0.5145098039215685, 'goal_unit_progress': 0.0, 'total': 0.13057812500000002, 'seeded_bootstrap': 1.0}"
59,0.121818,0.285904,0.992188,0.047730,0.102214,-0.271341,0.905167,1,256,13,0.091984,1,0.121190,0.171700,46,0.075304,"{0: 244, 1: 8, 5: 2, 2: 2}","{'asset_gained': 36.328125, 'asset_reward': 0.036328125, 'production_start_reward': 0.015625, 'production_active_reward': 0.00462890625, 'production_cancel_penalty': 0.0026640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06843503937007873, 'goal_building_progress': 0.4476377952755905, 'goal_unit_progress': 0.0004921259842519685, 'total': 0.12181835937500002, 'seeded_bootstrap': 1.0}"
60,0.121181,0.325251,0.992188,0.068826,0.090805,0.283587,0.844957,1,256,13,1.295086,1,0.120455,0.171700,46,0.075304,"{0: 243, 3: 2, 5: 4, 1: 6, 2: 1}","{'asset_gained': 43.75, 'asset_reward': 0.04375, 'production_start_reward': 0.015625, 'production_active_reward': 0.00462890625, 'production_cancel_penalty': 0.0022890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05993438320209974, 'goal_building_progress': 0.4767716535433071, 'goal_unit_progress': 0.0026246719160104987, 'total': 0.12118098958333334, 'seeded_bootstrap': 1.0}"
61,0.090580,0.279635,0.992188,0.024534,0.098567,-0.329541,1.335886,4,256,13,0.242187,0,0.119473,0.171700,46,0.075304,"{0: 246, 2: 2, 1: 5, 5: 2, 3: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0046484375, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.043651574803149615, 'goal_building_progress': 0.4365157480314961, 'goal_unit_progress': 0.0, 'total': 0.090580078125, 'seeded_bootstrap': 1.0}"
62,0.077793,0.192357,0.996094,0.107143,0.143668,-0.114702,0.355528,1,256,19,0.424963,1,0.118158,0.171700,46,0.083333,"{0: 239, 5: 5, 1: 6, 3: 2, 10: 2, 9: 1, 2: 1}","{'asset_gained': 19.921875, 'asset_reward': 0.019921875, 'production_start_reward': 0.021484375, 'production_active_reward': 0.00509765625, 'production_cancel_penalty': 0.0034179687500000004, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.034843137254901964, 'goal_building_progress': 0.4309803921568628, 'goal_unit_progress': 0.0005882352941176471, 'total': 0.07779296875, 'seeded_bootstrap': 1.0}"
