update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
11,0.084086,0.474360,0.949219,0.744216,2.034385,0.222533,0.833230,1,256,255,0.155091,1,0.066617,0.101859,9,0.481337,"{5: 110, 1: 12, 0: 38, 2: 31, 3: 29, 10: 10, 11: 16, 9: 10}","{'asset_gained': 28.3203125, 'asset_reward': 0.056640625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.0234375, 'production_active_reward': 0.005449218749999999, 'production_cancel_penalty': 0.0037851562500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4447712418300654, 'goal_unit_progress': 0.0, 'goal_phase2': 0.5019607843137255, 'goal_phase_bonus': 0.002352941176470588, 'total': 0.08408593749999999, 'seeded_bootstrap': 1.0}"
12,0.093352,0.465529,0.808594,0.979821,2.058724,0.194127,0.547403,1,256,254,0.083682,1,0.068845,0.101859,9,0.508464,"{10: 16, 5: 103, 11: 22, 2: 23, 9: 40, 3: 26, 0: 23, 1: 3}","{'asset_gained': 29.4921875, 'asset_reward': 0.058984375, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.03125, 'production_active_reward': 0.0055078125000000006, 'production_cancel_penalty': 0.004734375000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4486548556430446, 'goal_unit_progress': 0.05052493438320211, 'goal_phase2': 0.531496062992126, 'goal_phase_bonus': 0.002362204724409449, 'total': 0.09335156249999998, 'seeded_bootstrap': 1.0}"
13,0.105434,0.636015,0.917969,0.559425,1.957958,0.199324,1.150475,1,256,254,0.143838,1,0.071660,0.105434,13,0.447266,"{2: 45, 5: 102, 0: 53, 3: 36, 1: 12, 9: 5, 11: 1, 10: 2}","{'asset_gained': 42.1875, 'asset_reward': 0.084375, 'resource_growth': 1.6953125, 'resource_reward': 0.0016953125, 'production_start_reward': 0.015625, 'production_active_reward': 0.00447265625, 'production_cancel_penalty': 0.0019062500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.46538713910761165, 'goal_unit_progress': 0.030577427821522306, 'goal_phase2': 0.47244094488188976, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.10543359375000001, 'seeded_bootstrap': 1.0}"
14,0.086277,0.549442,0.968750,0.491347,1.995798,0.193015,0.841334,1,256,255,0.065188,1,0.072704,0.105434,13,0.442925,"{0: 42, 5: 102, 2: 33, 1: 10, 3: 69}","{'asset_gained': 33.984375, 'asset_reward': 0.06796875, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.013671875, 'production_active_reward': 0.004589843749999999, 'production_cancel_penalty': 0.0022968750000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5205882352941177, 'goal_unit_progress': 0.00522875816993464, 'goal_phase2': 0.7803921568627451, 'goal_phase_bonus': 0.002352941176470588, 'total': 0.08627734375, 'seeded_bootstrap': 1.0}"
15,0.101613,0.470863,0.921875,0.568277,2.066516,0.207557,0.704279,1,256,254,0.101308,1,0.074631,0.105434,13,0.503255,"{0: 32, 5: 83, 3: 31, 2: 32, 1: 10, 10: 29, 11: 22, 9: 17}","{'asset_gained': 33.59375, 'asset_reward': 0.0671875, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.03125, 'production_active_reward': 0.005742187499999999, 'production_cancel_penalty': 0.0049101562500000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.45997375328083995, 'goal_unit_progress': 0.013353018372703411, 'goal_phase2': 0.5708661417322834, 'goal_phase_bonus': 0.002362204724409449, 'total': 0.10161328124999999, 'seeded_bootstrap': 1.0}"
16,0.122395,0.481049,0.933594,0.786135,2.077026,0.328571,0.949939,1,256,254,0.346238,1,0.077616,0.122395,16,0.538411,"{3: 28, 9: 47, 10: 18, 11: 48, 5: 67, 0: 22, 2: 18, 1: 8}","{'asset_gained': 39.0625, 'asset_reward': 0.078125, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.04296875, 'production_active_reward': 0.006269531250000002, 'production_cancel_penalty': 0.0073125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4858923884514436, 'goal_unit_progress': 0.08438320209973751, 'goal_phase2': 0.6653543307086615, 'goal_phase_bonus': 0.002362204724409449, 'total': 0.12239453125, 'seeded_bootstrap': 1.0}"
17,0.116605,0.560128,0.945312,0.607804,2.083206,0.220609,1.060538,1,256,254,0.122418,1,0.079910,0.122395,16,0.498698,"{3: 47, 5: 89, 0: 27, 2: 22, 1: 17, 9: 20, 11: 19, 10: 15}","{'asset_gained': 41.796875, 'asset_reward': 0.08359375, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.03125, 'production_active_reward': 0.00587890625, 'production_cancel_penalty': 0.0052890625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.47227690288713914, 'goal_unit_progress': 0.00853018372703412, 'goal_phase2': 0.8070866141732284, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.11660546875, 'seeded_bootstrap': 1.0}"
18,0.087074,0.361105,0.953125,0.894845,2.135440,0.363983,0.483124,1,256,255,0.088002,1,0.080308,0.122395,16,0.534071,"{5: 62, 2: 32, 1: 14, 3: 26, 0: 27, 10: 32, 11: 28, 9: 35}","{'asset_gained': 24.0234375, 'asset_reward': 0.048046875, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.03515625, 'production_active_reward': 0.006796874999999999, 'production_cancel_penalty': 0.005269531250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.429281045751634, 'goal_unit_progress': 0.0025490196078431383, 'goal_phase2': 0.6823529411764706, 'goal_phase_bonus': 0.002352941176470588, 'total': 0.08707421874999999, 'seeded_bootstrap': 1.0}"
19,0.107977,0.636279,0.945312,0.654656,1.999677,0.251334,1.114923,1,256,254,0.196886,1,0.081764,0.122395,16,0.468750,"{9: 11, 10: 15, 3: 28, 11: 9, 2: 37, 5: 106, 0: 27, 1: 23}","{'asset_gained': 44.3359375, 'asset_reward': 0.088671875, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.015625, 'production_active_reward': 0.005175781250000001, 'production_cancel_penalty': 0.00266796875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3826771653543307, 'goal_unit_progress': 0.03238188976377952, 'goal_phase2': 0.2952755905511811, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.10797656249999997, 'seeded_bootstrap': 1.0}"
20,0.102875,0.626881,0.917969,0.442189,2.002229,0.187194,1.184914,1,256,254,0.084241,1,0.082820,0.122395,16,0.447266,"{3: 54, 5: 81, 2: 56, 1: 23, 0: 36, 10: 5, 11: 1}","{'asset_gained': 41.796875, 'asset_reward': 0.08359375, 'resource_growth': 3.4140625, 'resource_reward': 0.0034140624999999996, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004511718749999999, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3289370078740158, 'goal_unit_progress': 0.04084645669291338, 'goal_phase2': 0.03937007874015748, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.102875, 'seeded_bootstrap': 1.0}"
