update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
18,0.079686,0.279032,0.996094,0.008322,0.060723,-0.483931,0.446213,4,256,8,0.047979,0,0.111939,0.160948,1,0.067708,"{5: 1, 1: 2, 0: 249, 2: 4}","{'asset_gained': 31.640625, 'asset_reward': 0.031640625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.004765625, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.035186274509803925, 'goal_building_progress': 0.33127450980392154, 'goal_unit_progress': 0.020588235294117647, 'total': 0.079685546875, 'seeded_bootstrap': 1.0}"
19,0.100280,0.282228,0.992188,0.017441,0.094992,-0.389242,1.108303,4,256,12,0.089537,0,0.111326,0.160948,1,0.073785,"{0: 248, 5: 2, 1: 3, 2: 2, 3: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.013671875, 'production_active_reward': 0.00470703125, 'production_cancel_penalty': 0.0015234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.051010498687664045, 'goal_building_progress': 0.48884514435695536, 'goal_unit_progress': 0.014435695538057743, 'total': 0.10027994791666667, 'seeded_bootstrap': 1.0}"
20,0.124559,0.320952,0.992188,0.014586,0.072165,-0.366159,1.141894,4,256,9,0.313342,0,0.111987,0.160948,1,0.069227,"{0: 249, 5: 2, 2: 2, 1: 3}","{'asset_gained': 41.40625, 'asset_reward': 0.04140625, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.00153125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06875656167979002, 'goal_building_progress': 0.4425196850393701, 'goal_unit_progress': 0.067749343832021, 'total': 0.12455924479166666, 'seeded_bootstrap': 1.0}"
21,0.127738,0.285711,0.996094,0.011847,0.089351,-0.181272,1.142025,4,256,11,0.079912,0,0.110327,0.160948,1,0.072266,"{0: 248, 5: 3, 1: 2, 2: 2, 3: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0046875, 'production_cancel_penalty': 0.0019140625000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.08074836601307188, 'goal_building_progress': 0.5207516339869281, 'goal_unit_progress': 0.039215686274509796, 'total': 0.12773763020833334, 'seeded_bootstrap': 1.0}"
22,0.162408,0.282974,0.992188,0.024990,0.099983,-0.444288,1.865144,4,256,13,0.159980,0,0.112559,0.162408,22,0.075304,"{0: 244, 1: 5, 5: 4, 2: 3}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0046484375, 'production_cancel_penalty': 0.0019023437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.11288713910761154, 'goal_building_progress': 0.5839895013123358, 'goal_unit_progress': 0.04068241469816272, 'total': 0.16240755208333335, 'seeded_bootstrap': 1.0}"
23,0.130821,0.323252,0.992188,0.028716,0.073915,-0.227440,1.663314,4,256,10,0.702291,0,0.114134,0.162408,22,0.070747,"{0: 247, 3: 2, 2: 4, 1: 3}","{'asset_gained': 42.578125, 'asset_reward': 0.042578124999999994, 'production_start_reward': 0.013671875, 'production_active_reward': 0.00470703125, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07233923884514436, 'goal_building_progress': 0.5237860892388451, 'goal_unit_progress': 0.03018372703412073, 'total': 0.13082096354166667, 'seeded_bootstrap': 1.0}"
24,0.098043,0.283452,0.996094,0.011845,0.091341,0.690307,0.772253,4,256,13,0.724274,0,0.113401,0.162408,22,0.071615,"{0: 247, 3: 1, 5: 2, 10: 1, 1: 3, 2: 2}","{'asset_gained': 33.203125, 'asset_reward': 0.033203125, 'production_start_reward': 0.013671875, 'production_active_reward': 0.004843749999999999, 'production_cancel_penalty': 0.0019179687500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.048431372549019615, 'goal_building_progress': 0.4843137254901961, 'goal_unit_progress': 0.0, 'total': 0.09804296875000001, 'seeded_bootstrap': 1.0}"
25,0.077378,0.282320,0.992188,0.051290,0.118031,-0.018744,1.537969,1,256,16,0.211500,1,0.112893,0.162408,22,0.080512,"{0: 244, 2: 4, 1: 2, 5: 3, 3: 2, 10: 1}","{'asset_gained': 33.203125, 'asset_reward': 0.033203125, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.027506561679790025, 'goal_building_progress': 0.3838582677165354, 'goal_unit_progress': 0.02690288713910761, 'total': 0.07737760416666666, 'seeded_bootstrap': 1.0}"
26,0.141824,0.326924,0.992188,0.028876,0.104071,0.087760,1.812007,4,256,14,0.369265,1,0.115003,0.162408,22,0.076606,"{0: 242, 2: 3, 5: 3, 1: 4, 3: 2, 9: 1, 10: 1}","{'asset_gained': 44.53125, 'asset_reward': 0.044531249999999994, 'production_start_reward': 0.01953125, 'production_active_reward': 0.004765625000000001, 'production_cancel_penalty': 0.0026484374999999998, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07624015748031496, 'goal_building_progress': 0.478018372703412, 'goal_unit_progress': 0.0800524934383202, 'total': 0.14182421875, 'seeded_bootstrap': 1.0}"
27,0.096770,0.286848,0.992188,0.021837,0.127794,-0.326750,0.952954,4,256,20,0.262732,0,0.114335,0.162408,22,0.078776,"{0: 242, 3: 1, 2: 5, 10: 1, 9: 1, 11: 3, 5: 1, 1: 2}","{'asset_gained': 35.9375, 'asset_reward': 0.0359375, 'production_start_reward': 0.021484375, 'production_active_reward': 0.005585937500000001, 'production_cancel_penalty': 0.003015625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.03706692913385827, 'goal_building_progress': 0.4446850393700788, 'goal_unit_progress': 0.0, 'total': 0.09676953125, 'seeded_bootstrap': 1.0}"
28,0.100393,0.252502,0.996094,0.055837,0.180155,-0.399719,0.592467,1,256,25,0.093209,1,0.114835,0.162408,22,0.091363,"{0: 235, 5: 7, 1: 3, 3: 4, 9: 2, 11: 4, 2: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.030468749999999996, 'production_start_reward': 0.02734375, 'production_active_reward': 0.0053124999999999995, 'production_cancel_penalty': 0.00483203125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.042264705882352954, 'goal_building_progress': 0.414313725490196, 'goal_unit_progress': 0.008333333333333333, 'total': 0.100392578125, 'seeded_bootstrap': 1.0}"
29,0.093197,0.283830,0.992188,0.036207,0.120548,0.049129,0.871271,1,256,17,0.085083,1,0.111880,0.162408,22,0.078559,"{0: 247, 2: 2, 9: 1, 1: 3, 5: 2, 3: 1}","{'asset_gained': 34.375, 'asset_reward': 0.034375, 'production_start_reward': 0.015625, 'production_active_reward': 0.0047265625, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0406988188976378, 'goal_building_progress': 0.38582677165354323, 'goal_unit_progress': 0.021161417322834646, 'total': 0.09319726562500001, 'seeded_bootstrap': 1.0}"
30,0.159309,0.291322,0.992188,0.161711,0.096464,-0.257120,1.441172,1,256,18,0.163077,1,0.113573,0.162408,22,0.078125,"{0: 239, 5: 2, 3: 1, 9: 1, 10: 1, 11: 5, 2: 5, 1: 2}","{'asset_gained': 38.671875, 'asset_reward': 0.038671874999999994, 'production_start_reward': 0.02734375, 'production_active_reward': 0.0059570312500000005, 'production_cancel_penalty': 0.0041640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.09222112860892388, 'goal_building_progress': 0.5638123359580052, 'goal_unit_progress': 0.09514435695538057, 'total': 0.1593092447916667, 'seeded_bootstrap': 1.0}"
