update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
43,0.067776,0.252662,0.992188,0.013044,0.153887,-0.879250,0.653500,4,256,25,0.374739,0,0.051700,0.077758,30,0.079427,"{0: 234, 2: 3, 5: 1, 1: 2, 3: 2, 9: 6, 10: 3, 11: 5}","{'asset_gained': 33.203125, 'asset_reward': 0.033203125, 'production_start_reward': 0.03387369791666667, 'production_active_reward': 0.007402343749999999, 'production_cancel_penalty': 0.006703125000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06777604166666665, 'seeded_bootstrap': 1.0}"
44,0.050046,0.195053,0.960938,0.032858,0.178970,-1.142351,0.318865,1,256,28,0.350167,1,0.052096,0.077758,30,0.086589,"{0: 232, 5: 6, 2: 3, 3: 4, 1: 1, 11: 8, 9: 1, 10: 1}","{'asset_gained': 19.7265625, 'asset_reward': 0.0197265625, 'production_start_reward': 0.027006510416666667, 'production_active_reward': 0.00814453125, 'production_cancel_penalty': 0.00483203125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05004557291666667, 'seeded_bootstrap': 1.0}"
45,0.052411,0.239499,0.980469,0.020588,0.196728,-0.613859,0.371563,4,256,28,0.415011,0,0.052146,0.077758,30,0.091146,"{0: 234, 9: 4, 11: 3, 5: 5, 10: 3, 2: 2, 1: 4, 3: 1}","{'asset_gained': 29.6875, 'asset_reward': 0.0296875, 'production_start_reward': 0.019759114583333334, 'production_active_reward': 0.0077539062499999995, 'production_cancel_penalty': 0.0047890625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05241145833333333, 'seeded_bootstrap': 1.0}"
46,0.052608,0.195464,0.984375,0.690477,0.182804,-0.901439,0.336123,1,256,25,0.556401,1,0.052505,0.077758,30,0.089410,"{0: 233, 11: 6, 1: 5, 9: 2, 7: 2, 6: 1, 10: 1, 5: 2, 2: 2, 3: 2}","{'asset_gained': 24.4140625, 'asset_reward': 0.0244140625, 'production_start_reward': 0.026393229166666664, 'production_active_reward': 0.0078125, 'production_cancel_penalty': 0.006011718750000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.052608072916666665, 'seeded_bootstrap': 1.0}"
47,0.063520,0.246544,0.972656,0.018416,0.199269,-0.634385,0.487309,4,256,31,0.293006,0,0.053115,0.077758,30,0.088325,"{5: 4, 2: 5, 9: 8, 0: 226, 11: 7, 10: 2, 3: 1, 1: 3}","{'asset_gained': 31.8359375, 'asset_reward': 0.031835937499999994, 'production_start_reward': 0.030363281250000002, 'production_active_reward': 0.008691406249999999, 'production_cancel_penalty': 0.007371093750000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06351953125, 'seeded_bootstrap': 1.0}"
48,0.040372,0.114380,0.992188,0.005448,0.128856,-1.945736,0.078336,4,256,19,1.548447,0,0.052526,0.077758,30,0.077908,"{0: 241, 3: 1, 10: 5, 5: 1, 1: 2, 11: 2, 2: 1, 9: 3}","{'asset_gained': 12.6953125, 'asset_reward': 0.0126953125, 'production_start_reward': 0.023989583333333335, 'production_active_reward': 0.00859375, 'production_cancel_penalty': 0.004906250000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04037239583333334}"
49,0.061978,0.246402,0.964844,0.021307,0.204144,-0.346900,0.444634,4,256,31,0.180730,0,0.053895,0.077758,30,0.088542,"{0: 229, 5: 4, 3: 5, 2: 3, 1: 1, 9: 4, 11: 6, 10: 4}","{'asset_gained': 31.640625, 'asset_reward': 0.031640625, 'production_start_reward': 0.028184895833333334, 'production_active_reward': 0.008125, 'production_cancel_penalty': 0.00597265625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06197786458333332, 'seeded_bootstrap': 1.0}"
50,0.032320,0.226453,0.992188,0.007578,0.066631,0.402834,0.260540,4,256,10,0.614918,0,0.051623,0.077758,30,0.066406,"{0: 249, 9: 2, 10: 1, 2: 2, 1: 1, 5: 1}","{'asset_gained': 21.875, 'asset_reward': 0.021875, 'production_start_reward': 0.0064453125, 'production_active_reward': 0.005859375000000002, 'production_cancel_penalty': 0.001859375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.0323203125, 'seeded_bootstrap': 1.0}"
51,0.049637,0.269881,0.949219,0.022149,0.151784,0.008236,0.634297,4,256,20,0.079530,0,0.051129,0.077758,30,0.084201,"{0: 238, 2: 3, 17: 1, 5: 6, 3: 6, 1: 2}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.01171875, 'production_active_reward': 0.005859375, 'production_cancel_penalty': 0.0019257812500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04963671874999999, 'seeded_bootstrap': 1.0}"
52,0.060625,0.249969,0.996094,0.006475,0.114743,0.231295,0.513034,4,256,18,0.165322,0,0.052120,0.077758,30,0.073785,"{0: 240, 3: 2, 5: 1, 10: 2, 9: 4, 2: 2, 1: 1, 11: 4}","{'asset_gained': 29.296875, 'asset_reward': 0.029296875, 'production_start_reward': 0.029296875, 'production_active_reward': 0.006523437499999998, 'production_cancel_penalty': 0.0044921875000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.060624999999999984, 'seeded_bootstrap': 1.0}"
