update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
74,0.066750,0.292053,0.988281,0.068112,0.103446,0.149443,0.829611,1,256,17,0.308766,1,0.049799,0.075177,24,0.075087,"{0: 240, 2: 2, 3: 2, 9: 2, 10: 1, 11: 5, 5: 3, 1: 1}","{'asset_gained': 37.890625, 'asset_reward': 0.037890625, 'production_start_reward': 0.02734375, 'production_active_reward': 0.0059375, 'production_cancel_penalty': 0.0044218750000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06674999999999999, 'seeded_bootstrap': 1.0}"
75,0.025633,0.203655,1.000000,0.126706,0.296068,0.929749,0.885053,1,256,69,0.030708,1,0.049424,0.075177,24,0.088108,"{0: 254, 5: 2}","{'asset_gained': 17.578125, 'asset_reward': 0.017578125, 'production_start_reward': 0.00390625, 'production_active_reward': 0.004921875, 'production_cancel_penalty': 0.0007734375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.025632812499999998}"
76,0.056070,0.245136,0.988281,0.061169,0.105306,0.053498,0.481875,1,256,17,0.105341,1,0.050070,0.075177,24,0.073351,"{2: 2, 0: 239, 5: 3, 1: 1, 3: 1, 9: 4, 11: 3, 10: 3}","{'asset_gained': 27.9296875, 'asset_reward': 0.0279296875, 'production_start_reward': 0.02578515625, 'production_active_reward': 0.0068359375, 'production_cancel_penalty': 0.00448046875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.0560703125, 'seeded_bootstrap': 1.0}"
77,0.060836,0.270427,0.992188,0.084485,0.187958,0.603624,0.637387,1,256,38,0.684150,1,0.050004,0.075177,24,0.083984,"{0: 235, 11: 5, 5: 2, 9: 2, 14: 4, 17: 1, 10: 3, 2: 2, 1: 1, 3: 1}","{'asset_gained': 36.71875, 'asset_reward': 0.036718749999999994, 'production_start_reward': 0.02191015625, 'production_active_reward': 0.007070312500000001, 'production_cancel_penalty': 0.00486328125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.060835937499999986, 'seeded_bootstrap': 1.0}"
78,0.049896,0.261947,0.988281,0.093029,0.143731,0.651309,0.595110,1,256,28,1.156316,1,0.049833,0.075177,24,0.081380,"{0: 241, 11: 3, 9: 3, 10: 2, 1: 3, 17: 1, 5: 2, 2: 1}","{'asset_gained': 34.375, 'asset_reward': 0.034375, 'production_start_reward': 0.013216145833333333, 'production_active_reward': 0.006796875000000001, 'production_cancel_penalty': 0.0044921875000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04989583333333333, 'seeded_bootstrap': 1.0}"
79,0.052177,0.266920,0.984375,0.189191,0.098722,-0.104142,0.789673,1,256,18,0.053973,1,0.051007,0.075177,24,0.074870,"{0: 246, 3: 1, 17: 1, 5: 3, 11: 2, 10: 1, 1: 1, 2: 1}","{'asset_gained': 31.25, 'asset_reward': 0.03125, 'production_start_reward': 0.016598958333333334, 'production_active_reward': 0.006601562500000001, 'production_cancel_penalty': 0.0022734375000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05217708333333333, 'seeded_bootstrap': 1.0}"
80,0.031457,0.208608,0.988281,0.179573,0.147562,0.451623,0.542013,1,256,31,0.076861,1,0.050579,0.075177,24,0.075955,"{0: 249, 5: 4, 17: 1, 1: 1, 2: 1}","{'asset_gained': 18.75, 'asset_reward': 0.01875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.005664062500000001, 'production_cancel_penalty': 0.00076953125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.031457031249999996, 'seeded_bootstrap': 1.0}"
81,0.069977,0.274341,0.992188,0.066304,0.149901,0.302227,0.662416,1,256,27,0.704703,1,0.051700,0.075177,24,0.079861,"{0: 233, 3: 2, 5: 4, 11: 7, 10: 3, 9: 3, 1: 2, 14: 1, 17: 1}","{'asset_gained': 38.8671875, 'asset_reward': 0.0388671875, 'production_start_reward': 0.0292890625, 'production_active_reward': 0.008164062500000001, 'production_cancel_penalty': 0.00634375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06997656249999999, 'seeded_bootstrap': 1.0}"
82,0.050944,0.130999,0.988281,0.109362,0.169098,0.156975,0.416440,1,256,28,0.247264,1,0.051830,0.075177,24,0.087891,"{0: 230, 3: 4, 11: 9, 9: 5, 5: 5, 1: 1, 10: 2}","{'asset_gained': 15.8203125, 'asset_reward': 0.0158203125, 'production_start_reward': 0.03354557291666666, 'production_active_reward': 0.008828125, 'production_cancel_penalty': 0.00725, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.050944010416666664}"
83,0.053368,0.193202,0.988281,0.036056,0.132135,0.071733,0.324823,1,256,21,0.134003,1,0.051835,0.075177,24,0.078125,"{0: 236, 5: 3, 1: 2, 3: 2, 11: 5, 10: 4, 2: 1, 9: 3}","{'asset_gained': 23.6328125, 'asset_reward': 0.023632812499999996, 'production_start_reward': 0.026856770833333335, 'production_active_reward': 0.008378906249999998, 'production_cancel_penalty': 0.0055000000000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05336848958333333, 'seeded_bootstrap': 1.0}"
